== 0 ==
"001"	Yo!{pause 8}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Showmanship}
"008"	Oh!{pause 20}
"009"	{emote: Greetings}
== 1 ==
"001"	¡Hola,{pause 8}!
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Showmanship}
"008"	¡Oh!{pause 20}
"009"	{emote: Greetings}
== 2 ==
"001"	Yo!{pause 8}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Showmanship}
"008"	Oh!{pause 20}
"009"	{emote: Greetings}
