== 0 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Curious}
"005"	{emote: Disbelief}
"006"	{emote: Sunny}
"007"	{emote: Sunny}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Curious}
"005"	{emote: Disbelief}
"006"	{emote: Sunny}
"007"	{emote: Sunny}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Curious}
"005"	{emote: Disbelief}
"006"	{emote: Sunny}
"007"	{emote: Sunny}
"008"	{emote: Worry}
